customer_id,age,gender,age_group,purchase_amount_usd,customer_value_tier,previous_purchases,engagement_tier,value_engagement_segment,subscription_status,frequency_of_purchases,purchase_frequency_days,category,item_purchased,review_rating,discount_applied,shipping_type,payment_method,location,season
1,55,Male,46-60 (Middle-Aged),53,Medium Value,14,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Blouse,3.1,Yes,Express,Venmo,Kentucky,Winter
2,19,Male,18-30 (Young Adult),64,Medium Value,2,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Sweater,3.1,Yes,Express,Cash,Maine,Winter
3,50,Male,46-60 (Middle-Aged),73,Medium Value,23,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Clothing,Jeans,3.1,Yes,Free Shipping,Credit Card,Massachusetts,Spring
4,21,Male,18-30 (Young Adult),90,High Value,49,High Engagement,High Value - High Engagement,Yes,Weekly,7,Footwear,Sandals,3.5,Yes,Next Day Air,PayPal,Rhode Island,Spring
5,45,Male,31-45 (Adult),49,Medium Value,31,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Clothing,Blouse,2.7,Yes,Free Shipping,PayPal,Oregon,Spring
6,46,Male,46-60 (Middle-Aged),20,Low Value,14,Low Engagement,Low Value - Low Engagement,Yes,Weekly,7,Footwear,Sneakers,2.9,Yes,Standard,Venmo,Wyoming,Summer
7,63,Male,61-70 (Senior),85,High Value,49,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Clothing,Shirt,3.2,Yes,Free Shipping,Cash,Montana,Fall
8,27,Male,18-30 (Young Adult),34,Low Value,19,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,Shorts,3.2,Yes,Free Shipping,Credit Card,Louisiana,Winter
9,26,Male,18-30 (Young Adult),97,High Value,8,Low Engagement,High Value - Low Engagement,Yes,Annually,365,Outerwear,Coat,2.6,Yes,Express,Venmo,West Virginia,Summer
10,57,Male,46-60 (Middle-Aged),31,Low Value,4,Low Engagement,Low Value - Low Engagement,Yes,Quarterly,90,Accessories,Handbag,4.8,Yes,2-Day Shipping,Cash,Missouri,Spring
11,53,Male,46-60 (Middle-Aged),34,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Shoes,4.1,Yes,Store Pickup,Bank Transfer,Arkansas,Fall
12,30,Male,18-30 (Young Adult),68,Medium Value,10,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Shorts,4.9,Yes,Store Pickup,Bank Transfer,Hawaii,Winter
13,61,Male,61-70 (Senior),72,Medium Value,37,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,4.5,Yes,Express,Venmo,Delaware,Winter
14,65,Male,61-70 (Senior),51,Medium Value,31,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Clothing,Dress,4.7,Yes,Express,PayPal,New Hampshire,Spring
15,64,Male,61-70 (Senior),53,Medium Value,34,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Outerwear,Coat,4.7,Yes,Free Shipping,Debit Card,New York,Winter
16,64,Male,61-70 (Senior),81,High Value,8,Low Engagement,High Value - Low Engagement,Yes,Monthly,30,Clothing,Skirt,2.8,Yes,Store Pickup,PayPal,Rhode Island,Winter
17,25,Male,18-30 (Young Adult),36,Low Value,44,High Engagement,Low Value - High Engagement,Yes,Bi-Weekly,14,Accessories,Sunglasses,4.1,Yes,Next Day Air,Debit Card,Alabama,Spring
18,53,Male,46-60 (Middle-Aged),38,Low Value,36,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Clothing,Dress,4.7,Yes,2-Day Shipping,Venmo,Mississippi,Winter
19,52,Male,46-60 (Middle-Aged),48,Medium Value,17,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Clothing,Sweater,4.6,Yes,Free Shipping,Cash,Montana,Summer
20,66,Male,61-70 (Senior),90,High Value,46,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Pants,3.3,Yes,Standard,Debit Card,Rhode Island,Summer
21,21,Male,18-30 (Young Adult),51,Medium Value,50,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Clothing,Pants,2.8,Yes,Express,Cash,Louisiana,Winter
22,31,Male,31-45 (Adult),62,Medium Value,22,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Clothing,Pants,4.1,Yes,Store Pickup,Debit Card,North Carolina,Winter
23,56,Male,46-60 (Middle-Aged),37,Low Value,32,Medium Engagement,Low Value - Medium Engagement,Yes,Annually,365,Clothing,Pants,3.2,Yes,Store Pickup,Debit Card,California,Summer
