customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,frequency_of_purchases_raw,age_group,purchase_frequency_days,customer_value_tier,engagement_tier,value_engagement_segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,Medium Value,Low Engagement,Medium Value - Low Engagement
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,Low Engagement,Medium Value - Low Engagement
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,Weekly,46-60 (Middle-Aged),7,Medium Value,Medium Engagement,Medium Value - Medium Engagement
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,Weekly,18-30 (Young Adult),7,High Value,High Engagement,High Value - High Engagement
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,Annually,31-45 (Adult),365,Medium Value,Medium Engagement,Medium Value - Medium Engagement
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,Weekly,46-60 (Middle-Aged),7,Low Value,Low Engagement,Low Value - Low Engagement
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,Quarterly,61-70 (Senior),90,High Value,High Engagement,High Value - High Engagement
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,Weekly,18-30 (Young Adult),7,Low Value,Medium Engagement,Low Value - Medium Engagement
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,Annually,18-30 (Young Adult),365,High Value,Low Engagement,High Value - Low Engagement
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,Quarterly,46-60 (Middle-Aged),90,Low Value,Low Engagement,Low Value - Low Engagement
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,Low Value,Medium Engagement,Low Value - Medium Engagement
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,Low Engagement,Medium Value - Low Engagement
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Bi-Weekly,Fortnightly,61-70 (Senior),14,Medium Value,High Engagement,Medium Value - High Engagement
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,Weekly,61-70 (Senior),7,Medium Value,Medium Engagement,Medium Value - Medium Engagement
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,Weekly,61-70 (Senior),7,Medium Value,Medium Engagement,Medium Value - Medium Engagement
